artist_name,track_name,release_date,genre,len
amy grant,every heartbeat,1991,Rock,115
rory gallagher,big guns,1982,Blues,78
culture,trust me,1997,Reggae,124
the knack,your number or your name,1979,Pop,51
alice cooper,model citizen,1980,Blues,67
merle haggard,nobody's darling but mine,1982,Country,32
bring me the horizon,sleepwalking,2013,Rock,35
rush,by-tor and the snow dog,1975,Rock,71
jason donovan,too many broken hearts,1989,Pop,84
dave matthews,gravedigger,2003,Pop,80
one ok rock,kanzen kankaku dreamer,2010,Rock,21
gregory isaacs,big all around,1989,Reggae,101
the offspring,come out and play (keep â€˜em separated),2005,Pop,94
ramp,i just love you,1977,Jazz,174
wiz khalifa,no sleep,2011,Pop,186
r.e.m.,near wild heaven,1991,Pop,155
jah sun,top rankin (feat. chronixx),2013,Reggae,89
barry manilow,bandstand boogie,1974,Pop,122
bobby darin,minnie the moocher,2007,Jazz,66
keely smith,autumn leaves,1957,Jazz,82
van halen,d.o.a.,1979,Rock,60
audiodub,the city,2015,Reggae,36
sensi trails,she love,2019,Reggae,158
k'naan,hurt me tomorrow,2012,Reggae,163
tom petty and the heartbreakers,walls,1996,Pop,52
rascal flatts,one good love,2000,Country,78
hank williams,settin' the woods on fire,1978,Country,72
joe pass,stella by starlight,1974,Jazz,29
buffalo springfield,mr. soul,1967,Country,50
nina simone,spring is here,1966,Blues,28
john lee hooker,blues before sunrise,1962,Blues,59
eldissa,what a difference a day made,2011,Jazz,37
eric church,the snake,2018,Country,88
the clash,spanish bombs,1979,Rock,125
minutemen,do you want new wave or do you want the truth,1984,Pop,16
pearl jam,not for you,1994,Rock,37
alan jackson,just as i am,2013,Country,50
seals and crofts,love conquers all,1977,Pop,57
the white stripes,slicker drips,1999,Blues,20
groove armada,history (feat. will young),2010,Jazz,43
diana ross,missing you,1984,Rock,84
cinderella,bad seamstress blues / fallin' apart at the seams,1988,Rock,86
donny hathaway,superwoman,2004,Jazz,40
little feat,lonesome whistle,1981,Country,75
black pistol fire,stripes or keys,2012,Blues,6
lil wayne,this is the carter,2004,Pop,158
eric clapton,greyhound bus,1977,Blues,46
whitney houston,you're still my man,1987,Pop,41
the damned,melody lee,1979,Rock,41
paul mccartney,no more lonely nights,1987,Rock,60
cliff richard,if you walked away,1976,Pop,42
jimmy cliff,come on people,1973,Reggae,91
yes,perpetual change,1971,Jazz,78
alice cooper,zombies dance,2005,Blues,79
patsy cline,cry not for me,1991,Country,26
foster the people,i would do anything for you,2011,Pop,25
dinah washington,after you've gone,1991,Blues,68
jamiroquai,runaway,2006,Jazz,96
madonna,the power of good-bye,1998,Pop,66
jeff beck,right now,2016,Blues,103
naughty by nature,uptown anthem,1991,Pop,147
michael ray,get to you,2017,Country,93
elvis presley,one night,1959,Rock,44
the reverend peyton's big damn band,devils look like angels,2012,Blues,121
matisyahu,escape,2010,Reggae,140
eek-a-mouse,peeni walli,1987,Reggae,96
lefty frizzell,"she's gone, gone, gone",1950,Country,40
lindsay lohan,drama queen (that girl),2004,Pop,130
mike & the mechanics,par avion,1985,Pop,58
quo vadis,silence calls the storm,2004,Jazz,131
katy perry,wide awake,2012,Pop,133
alan jackson,standing on the promises,2006,Country,30
scientists,last night,1980,Blues,74
the wallflowers,6th avenue heartache,1996,Pop,83
cher,all or nothing,1998,Pop,78
the moonglows,ten commandments of love,1993,Blues,33
mikey dread,i see jah,1989,Reggae,74
old 97's,every night is friday night (without you),2010,Country,44
warren hill,do you feel what i'm feeling?,1994,Jazz,22
olivia newton-john,carried away,1981,Pop,101
pop evil,trenches,2013,Rock,31
jon pardi,heartache medication,2019,Country,103
brandon jenkins,finger on the trigger,2005,Country,117
system of a down,a.d.d. (american dream denial),2002,Rock,142
p!nk,walk me home,2019,Pop,80
the meters,what 'cha say,1974,Jazz,159
blake shelton,do you remember,2013,Country,50
leslie odom jr.,love look away,2014,Jazz,35
breaking benjamin,feed the wolf,2018,Rock,28
andy williams,hawaiian wedding song,1991,Pop,29
joe walsh,tomorrow,1978,Country,52
lil wayne,a milli,2008,Pop,197
cocoa tea,i'm wanted,1992,Reggae,173
jay & the americans,crying,1964,Pop,47
stevie nicks,i can't wait,1986,Rock,53
camila cabello,havana,2017,Pop,130
abba,head over heels,1981,Pop,124
john michael montgomery,heaven sent me you,1995,Country,55
waylon jennings,this time,1972,Country,26
johnny horton,i got a hole in my pirogue,1956,Country,42
